propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
5021,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Shkolla e Baletit","Shkolla e Baletit",80000,67,67,1,1,0,0,0
5020,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",73000,69,75,1,1,2,0,0
5017,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",109000,121,121,2,2,0,0,0
5016,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",92000,71,100,2,1,0,0,0
5014,Apartment,Used,Available,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",140000,125,135,2,2,3,0,0
5009,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",98500,99,113,2,2,0,0,0
5005,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",93500,98,110,2,2,3,0,0
5003,Apartment,New,Reserved,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",75000,94,94,2,2,0,0,0
4986,Apartment,New,"In negotiation",Albania,Tirana,Tirana,"Zogu I Zi","Zogu I Zi",145000,100,112,2,2,0,0,0
4980,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",85000,84,97,2,1,0,0,0
4979,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kopshti Botanik/Zoologjik","Kopshti Botanik/Zoologjik",105000,94,105,2,2,0,0,0
4977,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,,,110000,94,105,2,2,0,0,0
4976,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,,,95000,88,97,2,1,0,0,0
4971,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,125000,140,250,3,2,0,0,0
4970,Apartment,New,Available,Albania,Tirana,Tirana,"Zogu I Zi","Zogu I Zi",116610,89,101,2,2,0,0,0
