propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
7062,Apartment,New,Sold,Albania,Tirana,Tirana,"prane Liqenit","prane Liqenit",55250,65,0,1,1,0,0,0
7060,Apartment,New,Sold,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",37000,50,0,1,1,0,0,0
7058,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane ATSH-se","Prane ATSH-se",92000,85,0,2,1,0,0,0
7044,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Frosina Plaku"","Rr. "Frosina Plaku"",61000,72,0,1,1,0,0,0
7038,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Frosina Plaku"","Rr. "Frosina Plaku"",108732,139,0,3,2,0,0,0
7028,Apartment,New,Sold,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",85000,93,0,2,2,0,0,0
7012,Apartment,New,Sold,Albania,Tirana,Tirana,"Prapa Fakultetit te Inxhinierise se Ndertimit","Prapa Fakultetit te Inxhinierise se Ndertimit",115952,138,0,3,2,0,0,0
7000,Apartment,New,Available,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",255000,300,0,6,2,0,0,0
6984,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Bogdanëve","Rruga e Bogdanëve",96000,87,87,2,1,0,0,0
6966,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr."Him Kolli", Rr."Myslym Shyri"","Rr."Him Kolli", Rr."Myslym Shyri"",62400,52,0,1,1,0,0,0
6962,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Selvise","Prane Selvise",147600,123,0,2,2,0,0,0
6960,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane stadiumit Dinamo","Prane stadiumit Dinamo",105000,100,0,3,1,0,0,0
6958,Apartment,New,Sold,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",75900,110,0,2,2,0,0,0
6944,Apartment,New,Rented,Albania,Tirana,Tirana,"Liqeni i Thatë","Liqeni i Thatë",43095,66,0,1,1,0,0,0
6942,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane shkolles "Vasil Shanto"","Prane shkolles "Vasil Shanto"",56000,67,0,0,0,0,0,0
6938,Apartment,New,Sold,Albania,Tirana,Tirana,"Brryli, Rruga Bardhyl","Brryli, Rruga Bardhyl",69000,79,0,1,1,0,0,0
6936,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Ali Demi"","Rr. "Ali Demi"",104960,128,128,3,2,0,0,0
6934,Apartment,New,Sold,Albania,Tirana,Tirana,Bllok,Bllok,234000,117,0,2,2,0,0,0
6930,Apartment,New,Sold,Albania,Tirana,Tirana,"Liqeni i Thatë","Liqeni i Thatë",95000,135,0,2,2,0,0,0
6926,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Kongresi i Lushnjës"","Rr. "Kongresi i Lushnjës"",69600,80,0,1,1,0,0,0
6920,Apartment,New,Available,Albania,Tirana,Tirana,"Prane Pazarit të Ri","Prane Pazarit të Ri",156000,120,0,2,1,0,0,0
6918,Apartment,New,Sold,Albania,Tirana,Tirana,"Tregu Elektrik, Rr. "Petro Nini Luarasi"","Tregu Elektrik, Rr. "Petro Nini Luarasi"",65700,73,0,2,1,0,0,0
6916,Apartment,New,Sold,Albania,Tirana,Tirana,"prane Kopshtit Zoologjik","prane Kopshtit Zoologjik",90000,120,0,0,2,0,0,0
6914,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Maternitetit te ri, Brryl","Prane Maternitetit te ri, Brryl",120000,130,0,2,2,0,0,0
6908,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane ATSH-se","Prane ATSH-se",130000,120,0,2,2,0,0,0
6906,Apartment,New,Sold,Albania,Tirana,Tirana,"Liqeni i Thatë","Liqeni i Thatë",67900,97,0,2,0,0,0,0
6904,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Elbasanit","Rruga e Elbasanit",92400,66,0,1,1,0,0,0
6896,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Ali Demi"","Rr. "Ali Demi"",49700,59,0,1,1,0,0,0
6894,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Durresit","Rruga e Durresit",110000,84,0,2,1,0,0,0
6892,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Ali Demi"","Rr. "Ali Demi"",103700,122,0,2,2,0,0,0
6890,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Globe, Rruga e Kavajes","Prane Globe, Rruga e Kavajes",50000,71,0,1,0,0,0,0
6888,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",87448,103,0,2,2,0,0,0
6886,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",95000,107,0,2,2,0,0,0
6884,Apartment,New,Sold,Albania,Tirana,Tirana,"Mbrapa gjimnazit "Sami Frasheri"","Mbrapa gjimnazit "Sami Frasheri"",93500,85,0,2,1,0,0,0
6882,Apartment,New,Available,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",20000,25,0,0,0,0,0,0
6874,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Mihal Grameno"","Rr. "Mihal Grameno"",45000,50,0,1,1,0,0,0
6872,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Restorant Durresit","Prane Restorant Durresit",52000,56,0,2,1,0,0,0
6870,Apartment,New,Sold,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",107000,107,0,2,2,0,0,0
6868,Apartment,New,"In evaluation",Albania,Tirana,Tirana,"Don Bosko","Don Bosko",64400,92,0,2,1,0,0,0
6866,Apartment,New,Available,Albania,Tirana,Tirana,"Rr. "Myslym Shyri"","Rr. "Myslym Shyri"",134400,112,112,2,1,0,0,0
6864,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Ali Demi"","Rr. "Ali Demi"",42000,62,0,1,1,0,0,0
6858,Apartment,New,Sold,Albania,Tirana,Tirana,"Pranë Kopshtit Botanik","Pranë Kopshtit Botanik",150000,158,0,3,2,0,0,0
6854,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Durresit","Rruga e Durresit",75000,70,0,1,1,0,0,0
