propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation,closed_price
44731,Apartment,Used,Available,Albania,Tirana,Tirana,Qender,Qender,172000,0,137,2,2,NULL,NULL,NULL,NULL
44626,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",115000,0,120,2,2,NULL,NULL,NULL,NULL
44605,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",83600,0,76,1,1,NULL,NULL,NULL,NULL
44604,Apartment,Used,Sold,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",83000,0,83,1,1,NULL,NULL,NULL,NULL
44602,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",119240,0,108,2,2,NULL,NULL,NULL,NULL
44596,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Barrikadave","Rruga e Barrikadave",250000,0,137,3,2,NULL,NULL,NULL,NULL
44593,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",112000,0,103,2,2,NULL,NULL,NULL,NULL
44588,Apartment,Used,Available,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",129500,0,129,2,2,NULL,NULL,NULL,NULL
44583,Apartment,Used,Sold,Albania,Tirana,Tirana,Blloku,Blloku,140000,0,98,2,1,NULL,NULL,NULL,NULL
44553,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",117000,0,129,2,2,NULL,NULL,NULL,NULL
44522,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Bulevardi Gjergj Fishta","Bulevardi Gjergj Fishta",77000,0,68,1,1,NULL,NULL,NULL,NULL
44519,Apartment,New,Sold,Albania,Tirana,Tirana,"Green City","Green City",57120,0,71,1,1,NULL,NULL,NULL,NULL
44515,Apartment,New,Sold,Albania,Tirana,Tirana,"Green City","Green City",63440,0,79,1,1,NULL,NULL,NULL,NULL
44507,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,64000,0,94,2,1,NULL,NULL,NULL,NULL
44503,Apartment,Used,Sold,Albania,Tirana,Tirana,Yzberisht,Yzberisht,55000,0,95,2,1,NULL,NULL,NULL,52000
44467,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",67370,0,89,1,1,NULL,NULL,NULL,NULL
44461,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",66358,0,88,2,1,NULL,NULL,NULL,NULL
44456,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",62503,0,83,1,1,NULL,NULL,NULL,NULL
44452,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",62503,0,83,1,1,NULL,NULL,NULL,NULL
44449,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",60792,0,80,1,1,NULL,NULL,NULL,NULL
44447,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",60222,0,80,1,1,NULL,NULL,NULL,NULL
44445,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",58775,0,78,1,1,NULL,NULL,NULL,NULL
44443,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",57845,0,76,1,1,NULL,NULL,NULL,NULL
44441,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",50068,0,66,1,1,NULL,NULL,NULL,NULL
44439,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",44510,0,59,1,1,NULL,NULL,NULL,NULL
44428,Apartment,"Under Construction",Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",82000,0,97,2,2,NULL,NULL,NULL,NULL
44425,Apartment,"Under Construction",Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",56000,0,66,1,1,NULL,NULL,NULL,NULL
44415,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",48000,0,60,1,1,NULL,NULL,NULL,NULL
44392,Apartment,Used,Available,Albania,Tirana,Tirana,"Stacioni I trenit","Stacioni I trenit",68000,0,68,1,1,NULL,NULL,NULL,NULL
44377,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",90000,0,113,2,2,NULL,NULL,NULL,NULL
44373,Apartment,New,Sold,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",93000,0,119,2,2,NULL,NULL,NULL,NULL
44365,Apartment,Used,Available,Albania,Tirana,Tirana,"Liceu Artistik","Liceu Artistik",260000,0,118,2,2,NULL,NULL,NULL,NULL
44335,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga Dritan Hoxha","Rruga Dritan Hoxha",93000,0,110,2,2,NULL,NULL,NULL,NULL
44331,Apartment,Used,Sold,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",112000,0,92,2,1,NULL,NULL,NULL,NULL
